"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006936","GO:0006936","muscle contraction","12/78","386/23023",0.0310880829015544,9.17616580310881,9.44514657427791,6.67766047043367e-09,4.2790448294539e-05,4.2790448294539e-05,"Sgcd/Atp2b4/Ryr3/Lmod1/Pln/Myh11/Myocd/Myom1/Ctnna3/Cacnb2/Kcnd3/Dmd",12
"GO:0051146","GO:0051146","striated muscle cell differentiation","11/78","405/23023",0.0271604938271605,8.01687242798354,8.30651373767176,1.17910484935598e-07,0.000377785193733656,0.000377785193733656,"Sgcd/Lmod1/Adamts5/Cxcl12/Myl9/Myh11/Myocd/Myom1/Igfbp5/Gata6/Dmd",11
"GO:0001508","GO:0001508","action potential","8/78","198/23023",0.0404040404040404,11.9259259259259,9.00244027831631,3.63882550774486e-07,0.000777253128454302,0.000777253128454302,"Trpc4/Kcnmb1/Gprin3/Ntrk3/Ctnna3/Cacnb2/Kcnd3/Dmd",8
"GO:0060047","GO:0060047","heart contraction","8/78","256/23023",0.03125,9.22395833333333,7.714766310668,2.50931951467093e-06,0.00401992986250284,0.00401992986250284,"Sgcd/Atp2b4/Pln/Ctnna3/Cacnb2/Kcnd3/Gata6/Dmd",8
"GO:0003015","GO:0003015","heart process","8/78","264/23023",0.0303030303030303,8.94444444444444,7.56943916616358,3.15154236407974e-06,0.0040390166938046,0.0040390166938046,"Sgcd/Atp2b4/Pln/Ctnna3/Cacnb2/Kcnd3/Gata6/Dmd",8
"GO:0051924","GO:0051924","regulation of calcium ion transport","8/78","283/23023",0.0282685512367491,8.34393404004711,7.24772239169065,5.25750238079854e-06,0.00422687352852639,0.00422687352852639,"Trpc4/Adcyap1r1/Agtr1a/Pln/Cxcl12/Cacnb2/Tspan18/Dmd",8
"GO:0097107","GO:0097107","postsynaptic density assembly","4/78","35/23023",0.114285714285714,33.7333333333333,11.2992197797088,5.89242309995531e-06,0.00422687352852639,0.00422687352852639,"Abi3bp/Ntrk3/Slitrk3/Ptprd",4
"GO:0006816","GO:0006816","calcium ion transport","10/78","493/23023",0.0202839756592292,5.98715348208249,6.52635048387223,6.32753159344408e-06,0.00422687352852639,0.00422687352852639,"Trpc4/Atp2b4/Adcyap1r1/Ryr3/Agtr1a/Pln/Cxcl12/Cacnb2/Tspan18/Dmd",10
"GO:0086003","GO:0086003","cardiac muscle cell contraction","5/78","77/23023",0.0649350649350649,19.1666666666667,9.30983342815478,6.3999596664833e-06,0.00422687352852639,0.00422687352852639,"Sgcd/Pln/Ctnna3/Cacnb2/Kcnd3",5
"GO:0051965","GO:0051965","positive regulation of synapse assembly","5/78","78/23023",0.0641025641025641,18.9209401709402,9.24355129097946,6.82029289817437e-06,0.00422687352852639,0.00422687352852639,"Syndig1/Thbs2/Clstn2/Slitrk3/Ptprd",5
"GO:0055002","GO:0055002","striated muscle cell development","7/78","210/23023",0.0333333333333333,9.83888888888889,7.50223936914255,7.25586904085366e-06,0.00422687352852639,0.00422687352852639,"Sgcd/Lmod1/Myl9/Myh11/Myocd/Myom1/Dmd",7
"GO:0051963","GO:0051963","regulation of synapse assembly","7/78","217/23023",0.032258064516129,9.52150537634409,7.3535394116989,8.98664966888899e-06,0.00453010583858288,0.00453010583858288,"Syndig1/Abi3bp/Thbs2/Ntrk3/Clstn2/Slitrk3/Ptprd",7
"GO:0060048","GO:0060048","cardiac muscle contraction","6/78","143/23023",0.041958041958042,12.3846153846154,7.96220155083051,9.19028962259324e-06,0.00453010583858288,0.00453010583858288,"Sgcd/Pln/Ctnna3/Cacnb2/Kcnd3/Dmd",6
"GO:0099084","GO:0099084","postsynaptic specialization organization","5/78","85/23023",0.0588235294117647,17.3627450980392,8.81175976954564,1.04031770476234e-05,0.00476168275151222,0.00476168275151222,"Abi3bp/Ntrk3/Cnksr2/Slitrk3/Ptprd",5
"GO:0070509","GO:0070509","calcium ion import","5/78","90/23023",0.0555555555555556,16.3981481481481,8.53363587908931,1.37561336920314e-05,0.0058384152587179,0.0058384152587179,"Trpc4/Agtr1a/Pln/Cxcl12/Cacnb2",5
"GO:0010959","GO:0010959","regulation of metal ion transport","9/78","429/23023",0.020979020979021,6.19230769230769,6.32946932611855,1.45778158769486e-05,0.0058384152587179,0.0058384152587179,"Trpc4/Adcyap1r1/Kcnmb1/Agtr1a/Pln/Cxcl12/Cacnb2/Tspan18/Dmd",9
"GO:0006941","GO:0006941","striated muscle contraction","7/78","239/23023",0.0292887029288703,8.64504881450488,6.92690166502152,1.68006674441938e-05,0.00633286335190553,0.00633286335190553,"Sgcd/Ryr3/Pln/Ctnna3/Cacnb2/Kcnd3/Dmd",7
"GO:0098698","GO:0098698","postsynaptic specialization assembly","4/78","47/23023",0.0851063829787234,25.1205673758865,9.65103814375081,1.94634275120796e-05,0.00656429702617927,0.00656429702617927,"Abi3bp/Ntrk3/Slitrk3/Ptprd",4
"GO:1904861","GO:1904861","excitatory synapse assembly","4/78","47/23023",0.0851063829787234,25.1205673758865,9.65103814375081,1.94634275120796e-05,0.00656429702617927,0.00656429702617927,"Abi3bp/Ntrk3/Slitrk3/Ptprd",4
"GO:0055001","GO:0055001","muscle cell development","7/78","247/23023",0.0283400809716599,8.36504723346829,6.78515981132151,2.07636836001399e-05,0.00665268422548484,0.00665268422548484,"Sgcd/Lmod1/Myl9/Myh11/Myocd/Myom1/Dmd",7
"GO:0070588","GO:0070588","calcium ion transmembrane transport","8/78","355/23023",0.0225352112676056,6.65164319248826,6.25686961892351,2.70684945453102e-05,0.00825975776411179,0.00825975776411179,"Trpc4/Atp2b4/Adcyap1r1/Ryr3/Agtr1a/Pln/Cacnb2/Dmd",8
